"feature","method","group1","group2","p_values","adj_method","p_adjust"
"ko00600","ALDEx2_Wilcoxon rank test","Pro-inflammatory","Pro-survival",0.150631685514944,"BH",0.239529073687698
"ko04141","ALDEx2_Wilcoxon rank test","Pro-inflammatory","Pro-survival",0.344609626819661,"BH",0.438388640019766
"ko04142","ALDEx2_Wilcoxon rank test","Pro-inflammatory","Pro-survival",0.522790327517307,"BH",0.592861355438144
"ko00604","ALDEx2_Wilcoxon rank test","Pro-inflammatory","Pro-survival",0.50815982138513,"BH",0.581610651024869
"ko04260","ALDEx2_Wilcoxon rank test","Pro-inflammatory","Pro-survival",0.000563951682448692,"BH",0.0368815120627325
"ko05142","ALDEx2_Wilcoxon rank test","Pro-inflammatory","Pro-survival",0.698738764862365,"BH",0.74686126932947
"ko00513","ALDEx2_Wilcoxon rank test","Pro-inflammatory","Pro-survival",0.0777304731674966,"BH",0.149304077173211
"ko04973","ALDEx2_Wilcoxon rank test","Pro-inflammatory","Pro-survival",0.357047840551725,"BH",0.451252645387847
"ko00510","ALDEx2_Wilcoxon rank test","Pro-inflammatory","Pro-survival",0.871030075273605,"BH",0.882401225081354
"ko05110","ALDEx2_Wilcoxon rank test","Pro-inflammatory","Pro-survival",0.511530046701403,"BH",0.583746053294542
"ko04974","ALDEx2_Wilcoxon rank test","Pro-inflammatory","Pro-survival",0.141365486860492,"BH",0.233265111580778
"ko00450","ALDEx2_Wilcoxon rank test","Pro-inflammatory","Pro-survival",0.417151817175096,"BH",0.508977688880306
"ko01051","ALDEx2_Wilcoxon rank test","Pro-inflammatory","Pro-survival",0.122869662292327,"BH",0.214745175537941
"ko00565","ALDEx2_Wilcoxon rank test","Pro-inflammatory","Pro-survival",0.600637834381902,"BH",0.663383607673452
"ko00524","ALDEx2_Wilcoxon rank test","Pro-inflammatory","Pro-survival",0.0592861349616607,"BH",0.123010804091574
"ko00300","ALDEx2_Wilcoxon rank test","Pro-inflammatory","Pro-survival",0.101682795274898,"BH",0.181810712288757
